,Time,User,Tweet ID,Tweet FULL
40,2022-11-04 10:40:31+00:00,masteokai,1588481307931443201,"""YOU LOVE ME.
and as it turns out,
I LOVE YOU TOO.""

HELPPPPPP😭💖💖💖💖

#EnolaHomes2 #EnolaHolmes https://t.co/oI7ZHDlnIK"
41,2022-11-04 10:40:26+00:00,Frenzi_Official,1588481289925320704,"#EnolaHolmes Season 2
Streaming on @NetflixIndia https://t.co/PowpY7ngjV"
42,2022-11-04 10:39:30+00:00,GilbertoBrenis,1588481053991346179,"Hoy regresa #EnolaHolmes
⬇️DALE CLICK A LA LIGA⬇️
https://t.co/cp64PaynGd https://t.co/OYze6Asy0u"
43,2022-11-04 10:39:15+00:00,andkimkaii,1588480990674313219,"""YOU LOVE ME.
and as it turns out,
I LOVE YOU TOO.""

HELPPPPPP😭💖💖💖💖

#EnolaHomes2 #EnolaHolmes https://t.co/oI7ZHDlnIK"
44,2022-11-04 10:37:03+00:00,Laurendodd1989,1588480439584690176,"My girls being the best detectives London has ever seen, I love them💐💐💐

Especially my princess Hannah I love you💛💛💛💛💛
#EnolaHolmes2 #EnolaholmesNetflix #EnolaHolmes #MillieBobbyBrown #Hannahdodd #AbbieHern https://t.co/kWP0jCypIg"
45,2022-11-04 10:35:48+00:00,LeisureByte,1588480122184687617,"Enola Holmes 2 Review: Enigmatic Mystery Unites the Detective Siblings
#EnolaHolmes2 #EnolaHolmes @Netflix #MillieBobbyBrown #HenryCavill #Sherlock Holmes https://t.co/kmGRlzcyCw"
46,2022-11-04 10:31:53+00:00,ThisIsGSage23,1588479138549141506,so i rewatched #EnolaHolmes #EnolaHolmes2020 and discovered i loved it still and my #HOLMESBURY #Tawksbury still so WOW like my mind-vision of #jurdan #JudeCardan fr #TheCruelPrince BUT  just seen #EnolaHolmes2 #EnolaHolmes2022 and I LOVE IT MORE/action/acting/humor/storylines♥ https://t.co/soh5tTd98K
47,2022-11-04 10:31:09+00:00,Felikis93,1588478950841675776,"Ya está disponible en @NetflixPelis @NetflixES @NetflixLAT ""Enola Holmes 2"" 🔎

#EnolaHolmes2

Con Millie Bobby Brown como #EnolaHolmes y Henry Cavill como #SherlockHolmes (entre muchos otros)

https://t.co/ePDyZ3yUg0"
48,2022-11-04 10:30:57+00:00,HolmesWiki,1588478902095458304,"Ya está disponible en @NetflixPelis @NetflixES @NetflixLAT ""Enola Holmes 2"" 🔎

#EnolaHolmes2

Con Millie Bobby Brown como #EnolaHolmes y Henry Cavill como #SherlockHolmes (entre muchos otros)

https://t.co/ePDyZ3yUg0"
49,2022-11-04 10:29:43+00:00,kipzs,1588478593390514176,"What to watch on Netflix, Disney+ Hotstar and Amazon Prime Video this weekend

#EnolaHolmes #BrahmastraOnHotstar #ManifestOnNetflix 

https://t.co/bTfReQaLNS"
50,2022-11-04 10:29:33+00:00,ppo0485,1588478551619407872,i believe in enola holmes and viscount tewksbury supremacy ✨ #EnolaHolmes https://t.co/QfVqcD3sUy
51,2022-11-04 10:26:24+00:00,hannaharchives_,1588477758363308037,Cuties 💕 #EnolaHolmes https://t.co/4pyh2Gcb4K
52,2022-11-04 10:23:09+00:00,Solid_Snail,1588476939924299779,Happy #Releaseday! #EnolaHolmes2 #EnolaHolmes https://t.co/8zTqBA14rS
53,2022-11-04 10:19:37+00:00,ltibgtoit,1588476048244547585,#HOLMESBURY NATION WE JUST FUCKING WONNN. ENOLA &amp; TEWKSBURY KISS (SPOILER) #EnolaHolmes2 #EnolaHolmes https://t.co/N1H1gnW5Lp
54,2022-11-04 10:18:05+00:00,Jxvii_BM,1588475664700932097,"#EnolaHolmes2
#PrevEstreno

🟡 ESTRENO 🟡

La secuela de #EnolaHolmes ya está DISPONIBLE en @NetflixES. https://t.co/uVjkLybN3N"
55,2022-11-04 10:16:35+00:00,thailand_magic,1588475287909826560,"โอ้ยยยยยสมการรอคอยจริง สนุกมากกกกกก !!!!!
รีวิวล่าสุด สดๆร้อนๆ 
เอาไปเลยคะแนน 221ฺB/10
ภาพยนตร์ ผจญภัย ENOLA HOLMES 2

มี 1 เอนเครดิต นะจ๊ะ เซอร์ไพรส์แน่นอน !!!! แฟนนิยาย

#EnolaHolmes2 #EnolaHolmes #Netflix #NetflixTH
#MagicGirlsThailand #เอโนลาโฮล์มส์ #เอโนล่าโฮล์มส์ https://t.co/XuGAo1R0eh"
56,2022-11-04 10:13:49+00:00,milsuphawest,1588474590015393793,"The day has come!
#EnolaHolmesNetflix #enolaholmes #enolaholmes2

@NetflixIT @netflix https://t.co/0ZHAdlew1m"
57,2022-11-04 10:11:47+00:00,DailyRapidNews,1588474077819424768,"https://t.co/4H1Byixf1I
#HenryCavill #millybobbybrown #EnolaHolmes2 #EnolaHolmes #friendship"
58,2022-11-04 10:11:22+00:00,SoftForHenry,1588473973121159169,"The day has come!
#EnolaHolmesNetflix #enolaholmes #enolaholmes2

@NetflixIT @netflix https://t.co/0ZHAdlew1m"
59,2022-11-04 10:09:37+00:00,PreviouslyFilmx,1588473534153887747,"#EnolaHolmes2
#PrevEstreno

🟡 ESTRENO 🟡

La secuela de #EnolaHolmes ya está DISPONIBLE en @NetflixES. https://t.co/uVjkLybN3N"
60,2022-11-04 10:06:12+00:00,borfried,1588472673671483392,This my pussy each time Tewkesbury smiles on screen: #EnolaHolmes #EnolaHolmes2 https://t.co/BWzvwZqIf5
61,2022-11-04 10:04:55+00:00,nautankitadka,1588472351620235264,"Louis Partridge is actually one of my favorite people in the #EnolaHolmes movie world. I had a fascinating conversation with him back in 2019 on the set of the original movie, and found him to be thoroughly human. I'm very glad indeed that he is back for the second movie. https://t.co/JuMFxhlLMA"
62,2022-11-04 10:02:24+00:00,tyunified,1588471717839929345,#EnolaHolmes https://t.co/edBzQUbePT
63,2022-11-04 09:58:24+00:00,mariacrizx,1588470711240495104,Behind the scenes of #EnolaHolmes 2 😍 https://t.co/hwOWLP4siw
64,2022-11-04 09:58:17+00:00,05YFEDhX7tTeoPd,1588470681586761729,"สิ้นสุดการรอคอย ถึงเวลาป่วน สตรีมมิ่งแล้ว ตอนนี้ !!!!!!!
ภาพยนตร์ ผจญภัย ENOLA HOLMES 2
พร้อมแล้ว แบบพากย์ไทยและซับไทย บน​ Netflix
.
#EnolaHolmes2 #EnolaHolmes #Netflix #NetflixTH
#MagicGirlsThailand #เอโนลาโฮล์มส์ #เอโนล่าโฮล์มส์ https://t.co/ZUCUhRFZPT"
65,2022-11-04 09:56:05+00:00,deaanerystrgryn,1588470128064475136,uWu #EnolaHolmes https://t.co/6K6aZeqiti
66,2022-11-04 09:54:57+00:00,NSgoble,1588469841002123264,"ดำเนินเรื่องสนุก​ ภาพสวย เก็บจบม้วนเดียว​ หยิบประเด็นต่างๆมาทีละนิด​ ไขคดีให้ชวนติดตาม​ ได้คิดตามไปด้วยเอ่อเก่งเนอะ ละแม่กับเพื่อนคือฟาดมาก55​ ส่วนลอร์ดกับเอนโนก็น่ารัก​ ""สุดท้าย​ แสงไฟที่สว่างจ้า​ กำเนิดจากประกายไฟเล่มเล็กเพียงนิดเดียว""#EnolaHolmes​ ตามต่อยาวๆ https://t.co/3VsiPzUnau"
67,2022-11-04 09:54:35+00:00,september00_,1588469749771796480,Behind the scenes of #EnolaHolmes 2 😍 https://t.co/hwOWLP4siw
68,2022-11-04 09:52:50+00:00,SaveMacgyver0,1588469309537673216,Holy shit that love confession in Enola Holmes 2 was everything. Good job Millie and Louis 💚💚💚#Enolaholmes
69,2022-11-04 09:51:00+00:00,briancantdieyet,1588468847073370112,"It never disappoints me.

#EnolaHolmes"
70,2022-11-04 09:48:00+00:00,IntrovertSuprme,1588468092438708224,"Now watching Enola Holmes 2. 
#Netflix #EnolaHolmes #HenryCavill #MillieBobbyBrown"
71,2022-11-04 09:47:10+00:00,Jayooowyd,1588467885500170241,"Sherlock is actually a good brother to enola. He always there for her no matter what, always wants to protect her and make sure she okay. He cares so much about her!!! Yes he can be ruff soemtimes with her but that’s how bigger brothers are.#EnolaHolmes #EnolaHolmes2"
72,2022-11-04 09:46:07+00:00,NAIIMINN28,1588467619673567232,เอโนล่า2หนุกมากกกกกกก ตอนท้ายมีเซอร์ไพรส์เบาๆ #EnolaHolmes #NetflixTH
73,2022-11-04 09:43:52+00:00,andkimkaii,1588467054012928003,"LU SEMUA HARUS NONTON #EnolaHolmes2 KARENA MAKIN SERU CERITANYA AAAAA😍

#EnolaHolmes https://t.co/dWKo5aqSYp"
74,2022-11-04 09:42:03+00:00,IndiaTodayFLASH,1588466596645044225,"What to watch on Netflix, Disney+ Hotstar and Amazon Prime Video this weekend

#EnolaHolmes #BrahmastraOnHotstar #ManifestOnNetflix 

https://t.co/bTfReQaLNS"
75,2022-11-04 09:41:56+00:00,enjieLou,1588466568719003648,LMAOOO Enola and Tewkesbury confessing their love for each other is the most unromantic love confession I've ever witnessed in modern-day television! 😂 #EnolaHolmes
76,2022-11-04 09:41:39+00:00,hannaharchives_,1588466496682217473,Behind the scenes of #EnolaHolmes 2 😍 https://t.co/hwOWLP4siw
77,2022-11-04 09:41:31+00:00,IndiaToday,1588466460183052288,"What to watch on Netflix, Disney+ Hotstar and Amazon Prime Video this weekend

#EnolaHolmes #BrahmastraOnHotstar #ManifestOnNetflix 

https://t.co/bTfReQaLNS"
78,2022-11-04 09:40:17+00:00,hadeelt_,1588466151650381826,#EnolaHolmes this made me so happy
79,2022-11-04 09:39:53+00:00,ONLYANGEL0323,1588466051993698304,MY JOHNLOCK HEART IS FUCKING SCREAMING RN #EnolaHolmes
80,2022-11-04 09:39:09+00:00,Showbiz_IT,1588465867209445376,"What to watch on Netflix, Disney+ Hotstar and Amazon Prime Video this weekend

#EnolaHolmes #BrahmastraOnHotstar #ManifestOnNetflix 

https://t.co/bTfReQaLNS"
81,2022-11-04 09:36:27+00:00,beard71,1588465185341460484,Enola Holmes 2 is out today on #Netflix had a lovely day chasing #HenryCavill down the street trying to get an interview out of Sherlock. Check it out! #EnolaHolmes #EnolaHolmes2 #Actor #Superman https://t.co/KIOjrdzEQF
82,2022-11-04 09:35:26+00:00,rabbitgyu,1588464931284078594,"yuk yg mau nonton Enola Holmes bisaa order Netflix di aku ya
trusted dan bergaransi pastinya #ZonaUang #EnolaHolmes https://t.co/e9tchKA8Zs"
83,2022-11-04 09:31:28+00:00,giada_carboni,1588463931630256130,"The day has come!
#EnolaHolmesNetflix #enolaholmes #enolaholmes2

@NetflixIT @netflix https://t.co/0ZHAdlew1m"
84,2022-11-04 09:30:41+00:00,GiuliaLaurenza4,1588463734267473921,#HOLMESBURY NATION WE JUST FUCKING WONNN. ENOLA &amp; TEWKSBURY KISS (SPOILER) #EnolaHolmes2 #EnolaHolmes https://t.co/N1H1gnW5Lp
85,2022-11-04 09:30:08+00:00,_sharon_renee,1588463598732730369,Enola Holmes 2 10/10 #EnolaHolmes
86,2022-11-04 09:26:59+00:00,fdinaa_,1588462805933776896,Enola holmes bakal ada series ke 3 ga ya 😭 asli lbh seru dari yg pertama krn scene sherlock/henry cavill banyak ditambah love line enola sama viscount tewkesburry sweet bgt 😭 #EnolaHolmes
87,2022-11-04 09:26:35+00:00,itsdreness,1588462703596933123,Ayan may tEnola Holmes na! #EnolaHolmes
88,2022-11-04 09:26:02+00:00,aryanp_000,1588462564371226624,"#EnolaHolmes 2 is a step up from the first in all of the best ways. 

The story is fun, characters are always interesting and the action is super well done. A few weak story choices here and there - but overall it was such a great time. https://t.co/mR1oEpzdRb"
89,2022-11-04 09:20:41+00:00,yp1bb,1588461217685082112,#EnolaHolmes https://t.co/2eE7HTBPfE
90,2022-11-04 09:20:28+00:00,IsabellaFerna37,1588461165554053121,#EnolaHolmes gonna be so amazing! I just got a major feeling Enola gonna shock the entire world in #EnolaHolmes2 https://t.co/KCdZovUPnm
91,2022-11-04 09:20:00+00:00,IsabellaFerna37,1588461048687910912,We got them back let’s goooo. #HOLMESBURY #EnolaHolmes2 #EnolaHolmes https://t.co/jcRI85rNIw
92,2022-11-04 09:19:54+00:00,IsabellaFerna37,1588461020414365696,#HOLMESBURY ~ MY FAVESSSSS!!!!! they so perfect #EnolaHolmes2 #EnolaHolmes https://t.co/yUz77nXTwH
93,2022-11-04 09:19:06+00:00,IsabellaFerna37,1588460822472568833,#HOLMESBURY NATION WE JUST FUCKING WONNN. ENOLA &amp; TEWKSBURY KISS (SPOILER) #EnolaHolmes2 #EnolaHolmes https://t.co/N1H1gnW5Lp
94,2022-11-04 09:18:42+00:00,litratonijuan,1588460722140246016,May #EnolaHolmes 2 naaaa!
95,2022-11-04 09:17:52+00:00,IsabellaFerna37,1588460511133564930,I NEVER LOSE #EnolaHolmes #Holmesbury https://t.co/5aCjHwauoh
96,2022-11-04 09:17:43+00:00,Timmyboy65,1588460473137393664,"Onze favoriete speurneus is weer helemaal terug 🕵️‍♀️

#EnolaHolmes #EnolaHolmes2

https://t.co/c1fuGbxu17"
97,2022-11-04 09:17:38+00:00,Timmyboy65,1588460451880632322,Nieuw op #Netflix deze week #EnolaHolmes #Manifest #YoungRoyals en veel meer  https://t.co/169hKIEJFm https://t.co/mKu0cXZHZd
98,2022-11-04 09:16:52+00:00,le_friwi,1588460259588595712,Anyone else an #EnolaHolmes fan? Looking forward to watching #EnolaHolmes2 this arvo.
99,2022-11-04 09:16:24+00:00,kennethwilsonuk,1588460142194225152,"#EnolaHolmes 2 is fun if uneven, it’s first act is wasted for the most with re establishing who characters were from the first one (presumably for the people that didn’t see the first one) but once it settles in 30 mins or so in it’s pretty good 2nd act and 3rd act redeems it."
